,open,high,low,close,volume,close_change,return,previous_return,close_executed,close_executed_fixed,close_executed_differential,investment_value,investment_return_dollar,investment_return, investment_return_fixed ,crypto_fees,investment_return_adjusted
2024-01-01 19:30:00+00:00,43269.9835,43269.9835,43269.9835,43269.9835,0,80.75850000000355,0.001869876,0.001169946,0,0,0,1018,0,0.001968504, 0.00197 , ,   
2024-01-01 19:45:00+00:00,43436.2205,43436.2205,43436.2205,43436.2205,0,166.237,0.003841855,0.001869876,0,0,0,1022,0,0.003929273, 0.00393 , ,   
2024-01-01 20:00:00+00:00,43580.85,43641.239,43580.85,43624.955,0,188.73449999999866,0.004345095,0.003841855,0,0,0,1026,0,0.003913894, 0.00391 , ,   
2024-01-01 20:15:00+00:00,43647.278,43691.705,43647.278,43691.705,0,66.75,0.001530088,0.004345095,0,0,0,1028,0,0.001949318, 0.00195 , ,   
2024-01-01 20:30:00+00:00,43724.69,43747.57,43724.69,43747.57,0,55.86499999999796,0.001278618,0.001530088,0,0,0,1029,0,0.000972763, 0.00097 , ,   
2024-01-01 20:45:00+00:00,43840.97,43857.6,43834.7845,43835.657,0.009051783,88.08699999999953,0.002013529,0.001278618,0,0,0,1031,0,0.001943635, 0.00194 , ,   
2024-01-01 21:00:00+00:00,43738.275,43738.275,43738.275,43738.275,0,-97.382,-0.002221525,0.002013529,0,0,0,1029,0,-0.001939864, (0.00194), ,   
2024-01-01 21:15:00+00:00,43739.61,43739.61,43739.61,43739.61,0,1.3349999999991269,3.052246573509443e-05,-0.002221525,0,0,0,1029,0,0, -   , ,   
2024-01-01 21:30:00+00:00,43664.165,43664.165,43664.165,43664.165,0,-75.445,-0.001724867,3.052246573509443e-05,0,0,0,1027,0,-0.001943635, (0.00194), ,   
2024-01-01 21:45:00+00:00,43516.51,43516.51,43516.51,43516.51,0,-147.655,-0.003381606,-0.001724867,-43516.51,-43516.51,816,1023,19,-0.003894839, (0.00389),0.0025, (0.0064)
2024-01-01 22:00:00+00:00,43652.5,43652.5,43652.5,43652.5,0,135.98999999999796,0.003125021,-0.003381606,0,0,0,1023,0,0, -   , ,   
2024-01-01 22:15:00+00:00,43540.25,43555.42,43540.25,43555.42,0,-97.08,-0.002223928,0.003125021,0,0,0,1023,0,0, -   , ,   
2024-01-01 22:30:00+00:00,43510.696,43510.696,43510.696,43510.696,0,-44.724,-0.00102683,-0.002223928,0,0,0,1023,0,0, -   , ,   
2024-01-01 22:45:00+00:00,43489.5455,43489.5455,43489.5455,43489.5455,0,-21.1505,-0.000486099,-0.00102683,0,0,0,1023,0,0, -   , ,   
2024-01-01 23:00:00+00:00,43570.8835,43603.785,43570.8835,43603.785,0,114.23950000000332,0.002626827,-0.000486099,0,0,0,1023,0,0, -   , ,   
2024-01-01 23:15:00+00:00,43681.86,43681.86,43677.535,43677.535,0,73.75,0.001691367,0.002626827,43677.535,43677.535,0,1023,0,0, -   ,0.0015, (0.0015)
2024-01-01 23:30:00+00:00,43992.0125,44011.5795,43986.5395,44002.6015,0.000132709,325.06649999999354,0.007442419,0.001691367,0,0,0,1031,0,0.007820137, 0.00782 , ,   
2024-01-01 23:45:00+00:00,44080.425,44109.32,44080.425,44106.2825,2.3498e-05,103.68100000000413,0.002356247,0.007442419,0,0,0,1034,0,0.002909796, 0.00291 , ,   
2024-01-02 00:00:00+00:00,44178.976,44178.976,44178.976,44178.976,0,72.69350000000122,0.001648144,0.002356247,0,0,0,1035,0,0.000967118, 0.00097 , ,   
2024-01-02 00:15:00+00:00,44726.894,44788.75,44709.327,44741.4,0.000114561,562.4239999999991,0.012730580265146951,0.001648144,0,0,0,1048,0,0.012560386473430052, 0.01256 , ,   
2024-01-02 00:30:00+00:00,44669.3,44669.3,44669.3,44669.3,0,-72.1,-0.001611483,0.012730580265146951,0,0,0,1047,0,-0.000954198, (0.00095), ,   
2024-01-02 00:45:00+00:00,44755.1475,44762.7,44731.75975,44732.3565,0.001162328,63.05649999999878,0.001411629,-0.001611483,0,0,0,1048,0,0.00095511, 0.00096 , ,   
2024-01-02 01:00:00+00:00,45080.384,45234.9,45080.384,45121.608,0.00016352,389.2514999999985,0.008701788,0.001411629,0,0,0,1057,0,0.008587786, 0.00859 , ,   
2024-01-02 01:15:00+00:00,44887.7415,44927.743,44887.7415,44919.5,0,-202.108,-0.004479184,0.008701788,0,0,0,1053,0,-0.003784295, (0.00378), ,   
2024-01-02 01:30:00+00:00,45010.1365,45016.8,44987.076,44987.076,0,67.57600000000093,0.00150438,-0.004479184,0,0,0,1054,0,0.000949668, 0.00095 , ,   
2024-01-02 01:45:00+00:00,44871.647,44871.647,44847.647750000004,44847.647750000004,0.000675514,-139.42825,-0.003099296,0.00150438,0,0,0,1051,0,-0.0028463, (0.00285), ,   
2024-01-02 02:00:00+00:00,44897.045,44920.029,44897.045,44920.029,0,72.38124999999854,0.001613936,-0.003099296,0,0,0,1053,0,0.00190295, 0.00190 , ,   
2024-01-02 02:15:00+00:00,45028.1155,45036.011,45028.1155,45036.011,0,115.98199999999633,0.002581966,0.001613936,0,0,0,1055,0,0.001899335, 0.00190 , ,   
2024-01-02 02:30:00+00:00,45151.573000000004,45164.275,45151.573000000004,45164.275,0,128.26400000000285,0.002848032,0.002581966,0,0,0,1058,0,0.002843602, 0.00284 , ,   
2024-01-02 02:45:00+00:00,45346.7,45346.7,45310.365,45310.365,2.3498e-05,146.0899999999965,0.003234636,0.002848032,0,0,0,1062,0,0.003780718, 0.00378 , ,   
2024-01-02 03:00:00+00:00,45491.697,45491.697,45402.44,45402.44,0,92.07500000000437,0.002032096,0.003234636,0,0,0,1064,0,0.001883239, 0.00188 , ,   
2024-01-02 03:15:00+00:00,45294.55,45367.25,45294.55,45367.25,0,-35.19,-0.000775068,0.002032096,0,0,0,1063,0,-0.00093985, (0.00094), ,   
2024-01-02 03:30:00+00:00,45376.65,45424.3345,45376.65,45424.3345,0,57.084499999997206,0.001258276,-0.000775068,0,0,0,1064,0,0.000940734, 0.00094 , ,   
2024-01-02 03:45:00+00:00,45492.69,45509.985,45449.51,45489.395,2.8824e-05,65.06049999999959,0.001432283,0.001258276,0,0,0,1066,0,0.001879699, 0.00188 , ,   
2024-01-02 04:00:00+00:00,45484.143,45489.75,45484.143,45489.75,0,0.3550000000032014,7.804016738388597e-06,0.001432283,0,0,0,1066,0,0, -   , ,   
2024-01-02 04:15:00+00:00,45454.4225,45461.813,45425.451,45425.451,0,-64.299,-0.001413483,7.804016738388597e-06,0,0,0,1064,0,-0.001876173, (0.00188), ,   
2024-01-02 04:30:00+00:00,45429.9,45429.9,45378.989,45378.989,0.00027844,-46.462,-0.001022819,-0.001413483,-45378.989,-45378.989,1701,1063,39,-0.00093985, (0.00094),0.0025, (0.0034)
2024-01-02 04:45:00+00:00,45302,45302,45277.783,45277.783,2.2052e-05,-101.206,-0.002230239,-0.001022819,0,0,0,1063,0,0, -   , ,   
2024-01-02 05:00:00+00:00,45260.704,45260.704,45180.4,45197.795,0.768413491,-79.988,-0.001766606,-0.002230239,0,0,0,1063,0,0, -   , ,   
2024-01-02 05:15:00+00:00,45337.70533333334,45346.53333333333,45310.572,45318.53333333333,7.442066666666666e-05,120.7383333333346,0.002671332,-0.001766606,0,0,0,1063,0,0, -   , ,   
2024-01-02 05:30:00+00:00,45303.1545,45303.1545,45303.1545,45303.1545,0,-15.37883333,-0.00033935,0.002671332,0,0,0,1063,0,0, -   , ,   
2024-01-02 05:45:00+00:00,45274.6,45281.3775,45274.6,45281.3775,0.020406597,-21.777,-0.000480695,-0.00033935,0,0,0,1063,0,0, -   , ,   
2024-01-02 06:00:00+00:00,45219.15,45219.15,45219.15,45219.15,0,-62.2275,-0.00137424,-0.000480695,0,0,0,1063,0,0, -   , ,   
2024-01-02 06:15:00+00:00,45260.099,45269.170333333335,45260.099,45269.170333333335,0,50.02033333333384,0.001106176,-0.00137424,0,0,0,1063,0,0, -   , ,   
2024-01-02 06:30:00+00:00,45270.65,45270.65,45270.65,45270.65,0,1.4796666666661622,3.2685968303969304e-05,0.001106176,45270.65,45270.65,0,1063,0,0, -   ,0.0015, (0.0015)
2024-01-02 06:45:00+00:00,45360.5345,45360.5345,45318.5115,45318.5115,0,47.86149999999907,0.00105723,3.2685968303969304e-05,0,0,0,1064,0,0.000940734, 0.00094 , ,   
2024-01-02 07:00:00+00:00,45229.5545,45229.5545,45229.5545,45229.5545,0,-88.957,-0.001962929,0.00105723,0,0,0,1062,0,-0.001879699, (0.00188), ,   
2024-01-02 07:15:00+00:00,45406.105,45406.105,45406.105,45406.105,0,176.55050000000483,0.003903432,-0.001962929,0,0,0,1067,0,0.004708098, 0.00471 , ,   
2024-01-02 07:30:00+00:00,45488.61,45519.685,45482.822,45482.822,0.005,76.71699999999691,0.001689575,0.003903432,0,0,0,1068,0,0.000937207, 0.00094 , ,   
2024-01-02 07:45:00+00:00,45555,45555,45541.05,45551.82,1.1026e-05,68.99799999999959,0.001517012,0.001689575,0,0,0,1070,0,0.001872659, 0.00187 , ,   
2024-01-02 08:00:00+00:00,45545.423,45545.423,45545.423,45545.423,0,-6.397,-0.000140433,0.001517012,0,0,0,1070,0,0, -   , ,   
